Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,3,22,327
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,2,122,56
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,0,52,64
2015,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1075,0,2,23
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,0,6,25
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,2,30,76
2015,441937,California State University-Channel Islands,3980300,2,Thousand Oaks Campus,6167,0,0,0
2015,441937,California State University-Channel Islands,3980300,4,California State University Channel Islands - Goleta Campus,6167,0,0,0
2015,110538,California State University-Chico,114600,1,Main Campus,17220,1,13,79
2015,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,14635,0,3,0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,1,119,67
2015,110574,California State University-East Bay,113800,2,Concord Center,15528,0,0,0
2015,110574,California State University-East Bay,113800,3,Oakland Center,15528,0,0,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,0,12,59
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,2,100,140
2015,110565,California State University-Fullerton,113700,3,Desert Studies Center,38948,0,0,0
2015,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,38948,0,0,0
2015,110565,California State University-Fullerton,113700,5,Irvine Center,38948,0,0,0
2015,110565,California State University-Fullerton,113700,6,Garden Grove Center,38948,0,0,0
2015,110583,California State University-Long Beach,113900,1,Main Campus,37446,0,73,168
2015,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27680,0,112,266
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,5,10,2
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,1,172,250
2015,110617,California State University-Sacramento,115000,1,Sacramento State,30284,0,65,150
2015,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20024,0,79,138
2015,110510,California State University-San Bernardino,114200,2,Palm Desert Satellite Campus,20024,0,1,0
2015,366711,California State University-San Marcos,3011300,1,Main Campus,12793,0,71,21
2015,366711,California State University-San Marcos,3011300,3,Temecula Branch Campus,12793,0,4,0
2015,366711,California State University-San Marcos,3011300,4,Temecula Higher Education Center,12793,0,0,0
2015,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,9282,0,0,27
2015,110495,California State University-Stanislaus,115700,2,CSU Stanislaus - Stockton,9282,0,0,0
2015,122409,San Diego State University,115100,1,Main Campus,34254,4,302,0
2015,122409,San Diego State University,115100,2,Imperial Valley Campus,34254,0,0,0
2015,122597,San Francisco State University,115400,1,Main Campus,30256,0,3,205
2015,122597,San Francisco State University,115400,2,Downtown Center,30256,0,0,0
2015,122597,San Francisco State University,115400,3,The Estuary & Ocean Science Center,30256,0,0,0
2015,122755,San Jose State University,115500,1,Main Campus,32773,3,189,679
2015,122755,San Jose State University,115500,2,Moss Landing Marine Laboratory,32773,0,0,0
2015,123572,Sonoma State University,115600,1,Sonoma State University,9408,3,16,24
2016,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21306,0,7,216
2016,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8503,9,160,87
2016,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,25326,11,32,143
2016,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1107,0,4,13
2016,110486,California State University-Bakersfield,799300,1,Main Campus,9341,0,1,5
2016,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6611,1,34,47
2016,441937,California State University-Channel Islands,3980300,2,Thousand Oaks Campus,6611,0,0,0
2016,441937,California State University-Channel Islands,3980300,4,California State University Channel Islands - Goleta Campus,6611,0,0,0
2016,110538,California State University-Chico,114600,1,Main Campus,17557,0,5,3
2016,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,14731,3,3,0
2016,110574,California State University-East Bay,113800,1,Main Campus,15855,0,186,119
2016,110574,California State University-East Bay,113800,2,Concord Center,15855,0,0,0
2016,110574,California State University-East Bay,113800,3,Oakland Center,15855,0,0,0
2016,110556,California State University-Fresno,114700,1,Main Campus,24405,1,0,49
2016,110565,California State University-Fullerton,113700,1,Main Campus,40235,2,100,170
2016,110565,California State University-Fullerton,113700,3,Desert Studies Center,40235,0,0,0
2016,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40235,0,0,0
2016,110565,California State University-Fullerton,113700,5,Irvine Center,40235,0,0,0
2016,110565,California State University-Fullerton,113700,6,Garden Grove Center,40235,0,0,0
2016,110583,California State University-Long Beach,113900,1,Main Campus,37776,0,54,138
2016,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27827,1,196,240
2016,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7274,4,18,55
2016,110608,California State University-Northridge,115300,1,California State University- Northridge,39916,3,260,236
2016,110617,California State University-Sacramento,115000,1,Sacramento State,30510,1,39,141
2016,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20767,0,20,45
2016,110510,California State University-San Bernardino,114200,2,Palm Desert Satellite Campus,20767,0,0,0
2016,366711,California State University-San Marcos,3011300,1,Main Campus,13144,0,86,32
2016,366711,California State University-San Marcos,3011300,3,Temecula Branch Campus,13144,0,0,0
2016,366711,California State University-San Marcos,3011300,4,Temecula Higher Education Center,13144,0,0,0
2016,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,9762,1,0,38
2016,110495,California State University-Stanislaus,115700,2,CSU Stanislaus - Stockton,9762,0,0,0
2016,122409,San Diego State University,115100,1,Main Campus,34688,2,205,624
2016,122409,San Diego State University,115100,2,Imperial Valley Campus,34688,0,0,0
2016,122597,San Francisco State University,115400,1,Main Campus,29045,0,8,240
2016,122597,San Francisco State University,115400,2,Downtown Center,29045,0,0,0
2016,122597,San Francisco State University,115400,3,The Estuary & Ocean Science Center,29045,0,0,0
2016,122755,San Jose State University,115500,1,Main Campus,32154,0,44,224
2016,122755,San Jose State University,115500,2,Moss Landing Marine Laboratory,32154,0,0,0
2016,123572,Sonoma State University,115600,1,Sonoma State University,9323,3,20,8
2017,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22370,1,5,292
2017,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8525,3,189,115
2017,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26053,1,20,79
2017,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1090,0,3,40
2017,110486,California State University-Bakersfield,799300,1,Main Campus,10131,0,0,12
