Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,2,4,325
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,2,122,56
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,0,50,60
2015,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1075,0,2,23
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,0,5,25
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,1,21,73
2015,110538,California State University-Chico,114600,1,Main Campus,17220,1,12,79
2015,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,14635,0,0,0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,1,119,67
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,0,12,59
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,1,100,140
2015,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,38948,0,0,0
2015,110583,California State University-Long Beach,113900,1,Main Campus,37446,0,55,146
2015,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27680,0,110,265
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,4,7,2
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,1,169,242
2015,110617,California State University-Sacramento,115000,1,Sacramento State,30284,0,62,150
2015,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20024,0,79,138
2015,366711,California State University-San Marcos,3011300,1,Main Campus,12793,0,66,21
2015,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,9282,0,0,27
2015,122409,San Diego State University,115100,1,Main Campus,34254,4,302,0
2015,122597,San Francisco State University,115400,1,Main Campus,30256,0,3,144
2015,122755,San Jose State University,115500,1,Main Campus,32773,3,186,679
2015,123572,Sonoma State University,115600,1,Sonoma State University,9408,2,15,14
2016,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21306,0,4,203
2016,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8503,9,150,84
2016,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,25326,10,32,121
2016,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1107,0,4,13
2016,110486,California State University-Bakersfield,799300,1,Main Campus,9341,0,1,5
2016,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6611,0,18,47
2016,110538,California State University-Chico,114600,1,Main Campus,17557,0,4,0
2016,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,14731,3,3,0
2016,110574,California State University-East Bay,113800,1,Main Campus,15855,0,186,119
2016,110556,California State University-Fresno,114700,1,Main Campus,24405,0,0,49
2016,110565,California State University-Fullerton,113700,1,Main Campus,40235,2,96,164
2016,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40235,0,0,0
2016,110583,California State University-Long Beach,113900,1,Main Campus,37776,0,43,130
2016,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27827,0,194,239
2016,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7274,4,18,55
2016,110608,California State University-Northridge,115300,1,California State University- Northridge,39916,3,258,233
2016,110617,California State University-Sacramento,115000,1,Sacramento State,30510,1,39,141
2016,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20767,0,17,43
2016,366711,California State University-San Marcos,3011300,1,Main Campus,13144,0,78,27
2016,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,9762,0,0,38
2016,122409,San Diego State University,115100,1,Main Campus,34688,2,205,624
2016,122597,San Francisco State University,115400,1,Main Campus,29045,0,3,232
2016,122755,San Jose State University,115500,1,Main Campus,32154,0,44,224
2016,123572,Sonoma State University,115600,1,Sonoma State University,9323,2,20,4
2017,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22370,0,4,290
2017,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8525,2,189,115
2017,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26053,1,18,62
2017,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1090,0,3,40
2017,110486,California State University-Bakersfield,799300,1,Main Campus,10131,0,0,11
2017,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,7455,1,30,50
2017,110538,California State University-Chico,114600,1,Main Campus,17875,0,0,0
2017,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,16219,0,22,7
2017,110574,California State University-East Bay,113800,1,Main Campus,16538,0,1,0
2017,110556,California State University-Fresno,114700,1,Main Campus,25325,0,2,21
2017,110565,California State University-Fullerton,113700,1,Main Campus,40905,0,25,71
2017,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40905,0,0,0
2017,110583,California State University-Long Beach,113900,1,Main Campus,37622,0,8,13
2017,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,28531,0,154,101
