Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Total Fires
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 0,Building 114-A,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 1,Building 114-B,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 2,Building 114-C,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 3,Building 114-D,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 4,Building 114-E,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 5,Building 114-F,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 6,Building 114-G,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 7,Building 114-H,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 8,Building 114-J,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Yosemite Hall 9,Building 114-K,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Sierra Madre 0,Building 113-A,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Sierra Madre 1,Building 113-B,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Sierra Madre 2,Building 113-C,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Sierra Madre 3,Building 113-D,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Sierra Madre 4,Building 113-E,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Sierra Madre 5,Building 113-F,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Shasta Hall,Building 100,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Diablo Hall,Building 101,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Palomar Hall,Building 102,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Whitney Hall,Building 103,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Lassen Hall,Building 104,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Trinity Hall,Building 105,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Santa Lucia Hall,Building 106,1
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Muir Hall,Building 107,1
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Sequoia Hall,Building 108,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Fremont Hall,Building 109,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Tenaya Hall,Building 110,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Cerro Morro,Building 170-A,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Cerro Cabrillo,Building 170-B,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Cerro Hollister,Building 170-C,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Cerro Romauldo,Buidling 170-D,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Cerro Bishop,Building 170-E,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Cerro Islay,Building 170-F,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Aliso,Building 171-A,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Buena Vista,Building 171-B,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Corralitos,Building 171-C,1
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Dover,Building 171-D,1
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Estrella,Building 171-E,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Foxen,Building 171-F,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Gypsum,Building 171-G,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Huasna,Building 171-H,1
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Inyo,Building 171-I,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Herdsman Hall,Building 016-A,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Dairy Science,Building 018-L,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Environmental Horticulture,Building 048-A,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Beef Cattle Evaluation Center,Building 055-A,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Swine Unit,Building 056-0,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Veterinary Clinic,Building 057-C,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,McCloud Hall,Building 121-A,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Santa Ynez Hall,Building 121-B,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Peterson Ranch,Building 123-B,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Escuela Beef Center,Building 127-G,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Poultry Science,Building 150-I,0
2015,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,20944,Modular House Design Village,Building 095-B,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Alder Hall,280 Canyon Fire Ln,1
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Cedar Hall,263 Canyon Fire Ln,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Chinquipin Hall,220 Canyon Fire Ln,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Hemlock Hall,210 Canyon Fire Ln,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Madrone Hall,204 Canyon Fire Ln,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Maple Hall,160 Canyon Fire Ln,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Pepperwood Hall,155 Canyon Fire Ln,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Tan Oak Hall,140 Canyon Fire Ln,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Cypress Hall,271 Granite Ave,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Juniper Hall,3028 Granite Ave,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Laurel Hall,3023 Granite Ave,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Willow Hall,3035 Granite Ave,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Fern Hall,3047 Granite Ave,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Redwood Hall,250 Redwood Fire Ln,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Sunset Hall,2150 Sunset Ct,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Campus Apartments,335 Laurel Dr,1
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Trinity Hall,1681 Rossow St,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Mendocino Hall,1691 Rossow St,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Shasta Hall,341 Harpst St,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,Delnorte Hall,351 Harpst St,0
2015,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8790,CCAT,1580 Cluster Ct,0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 57-Palmitos,"57 University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 58-Cedritos,"58  University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 59-La Cienega,"59 University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 20-Encinitas,"20 University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 21-Montecito,"21 University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 22-Alamitos,"22 University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 23-Aliso,"23 University Dr. Pomona, CA 91768",1
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 70-Los Olivos,"70 University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 71-Naranjita,"71 University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 54-Vista De Las Estrellas,"54 Kellogg Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 60-Vista Bonita,"60 Kellogg Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 61-Vista Del Sol,"61 Kellogg Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 62-Vista De Las Montanas,"62 Kellogg Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 63-Vista De La Luna,"63 Kellogg Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 52-New Vista Dining,"52 Kellogg Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,John T. Lyle Center for Regenerative Studies,"4105 W. University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 209-Riverfront,"4105 W. University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,UHS Bldg. 209-Sunspace,"4105 W. University Dr. Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,Univ. Village-Bldg. 60,"3400 Poly Vista Pomona, CA 91768",0
